,species_name,nb_images
0,Amegilla quadrifasciata,166.0
1,Andrena agilissima,112.0
2,Andrena bicolor,87.0
3,Andrena cineraria,400.0
4,Andrena clarkella,201.0
5,Andrena denticulata,72.0
6,Andrena flavipes,204.0
7,Andrena florea,172.0
8,Andrena fulva,400.0
9,Andrena gravida,77.0
10,Andrena haemorrhoa,400.0
11,Andrena hattorfiana,345.0
12,Andrena nigroaenea,152.0
13,Andrena nitida,170.0
14,Andrena nycthemera,90.0
15,Andrena thoracica,58.0
16,Andrena vaga,400.0
17,Andrena ventralis,106.0
18,Anthidiellum strigatum,112.0
19,Anthidium florentinum,248.0
20,Anthidium manicatum,302.0
21,Anthidium oblongatum,115.0
22,Anthidium septemspinosum,114.0
23,Anthophora bimaculata,103.0
24,Anthophora furcata,79.0
25,Anthophora plumipes,375.0
26,Apis mellifera,400.0
27,Bombus argillaceus,150.0
28,Bombus bohemicus,127.0
29,Bombus campestris,174.0
30,Bombus hortorum,265.0
31,Bombus humilis,165.0
32,Bombus hypnorum,400.0
33,Bombus lapidarius,400.0
34,Bombus lucorum,270.0
35,Bombus muscorum,77.0
36,Bombus pascuorum,400.0
37,Bombus pratorum,400.0
38,Bombus ruderatus,75.0
39,Bombus rupestris,288.0
40,Bombus sylvarum,352.0
41,Bombus terrestris lusitanicus,145.0
42,Bombus vestalis,214.0
43,Ceratina cucurbitina,298.0
44,Chelostoma florisomne,120.0
45,Colletes cunicularius,281.0
46,Colletes hederae,400.0
47,Dasypoda hirtipes,353.0
48,Halictus rubicundus,124.0
49,Halictus scabiosae,400.0
50,Halictus sexcinctus,74.0
51,Heriades truncorum,109.0
52,Hylaeus variegatus,111.0
53,Lithurgus chrysurus,96.0
54,Macropis europaea,155.0
55,Megachile centuncularis,96.0
56,Megachile ericetorum,153.0
57,Megachile sculpturalis,205.0
58,Melecta albifrons,117.0
59,Nomada goodeniana,165.0
60,Nomada lathburiana,89.0
61,Osmia aurulenta,81.0
62,Osmia bicolor,163.0
63,Osmia bicornis,400.0
64,Osmia caerulescens,93.0
65,Osmia cornuta,400.0
66,Rhodanthidium septemdentatum,137.0
67,Rhodanthidium sticticum,120.0
68,Sphecodes albilabris,286.0
69,Xylocopa valga,129.0
70,Xylocopa violacea,400.0
